1;2013-04-03 22:23:55;69;128;36;0
2;2013-04-03 22:23:59;69;128;42;0
3;2013-04-03 22:24:02;69;128;31;0
4;2013-04-03 22:24:04;69;128;04;0
5;2013-04-03 22:24:05;69;128;28;0
6;2013-04-03 22:24:08;69;128;41;0
7;2013-04-03 22:24:10;69;128;33;0
8;2013-04-03 22:24:15;69;128;48;0
9;2013-04-03 22:24:17;69;128;37;0
10;2013-04-03 22:24:26;69;128;17;0
11;2013-04-03 22:24:28;69;128;15;0
12;2013-04-03 22:24:31;69;128;43;0
13;2013-04-03 22:24:33;69;128;15;0
14;2013-04-03 22:24:34;69;128;17;0
15;2013-04-03 22:24:36;69;128;14;0
15;2013-04-03 22:24:40;69;128;07;0