1;1860;562;
2;1843;470;
3;1819;403;
4;1782;345;
5;1721;286;
6;1664;228;
7;1584;191;
8;1523;178;
9;1450;178;
10;1400;178;
11;1350;178;
12;1300;178;
13;1231;210;
14;1177;236;
15;1100;197;
16;1050;197;
17;1000;197;
18;950;197;
19;900;197;
20;850;197;
21;800;197;
22;752;228;
23;682;210;
24;613;191;
25;563;191;
26;513;191;
27;463;191;
28;413;191;
29;363;191;
30;313;191;
31;263;191;
32;213;191;
33;163;191;
34;113;191;
35;82;127;
36;74;60;
37;82;127;
38;163;191;
39;213;191;
40;231;108;
41;285;60;
42;335;60;
43;385;60;
44;435;60;
45;485;60;
46;515;30;